Title Name,Genres,Rating,Duration,Aired,Metascore,IMDb
Фантазия,"['Animation', 'Family', 'Fantasy', 'Music']",0+,2h 5min,25 December 1948 (Soviet Union),96,7.8
Воспоминания о Марни,"['Animation', 'Drama', 'Family', 'Mystery']",PG,1h 43min,19 July 2014 (Japan),72,7.7
Ральф,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,1h 41min,1 November 2012 (Russia),72,7.7
Маленький принц,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy']",6+,1h 48min,24 December 2015 (Russia),70,7.7
Лего. Фильм,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,1h 40min,27 February 2014 (Russia),83,7.7
Рыбка Поньо на утёсе,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,1h 41min,3 September 2009 (Russia),86,7.7
Паприка,"['Animation', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Thriller']",R,1h 30min,25 November 2006 (Japan),81,7.7
Рапунцель: Запутанная история,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",6+,1h 40min,25 November 2010 (Russia),71,7.7
Коралина в стране кошмаров,"['Animation', 'Drama', 'Family', 'Fantasy', 'Thriller']",12+,1h 40min,30 April 2009 (Russia),80,7.7
D: Жажда крови,"['Animation', 'Action', 'Fantasy', 'Horror', 'Sci-Fi']",16+,1h 43min,17 April 2001 (Japan),62,7.7
"Южный Парк: Большой, длинный, необрезанный","['Animation', 'Comedy', 'Fantasy', 'Musical']",18+,1h 21min,9 November 2000 (Russia),73,7.7
Порко Россо,"['Animation', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",12+,1h 34min,27 July 1995 (Russia),83,7.7
Кто подставил кролика Роджера,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Family', 'Fantasy', 'Mystery']",12+,1h 44min,22 June 1988 (USA),83,7.7
Rupan sansei: Kariosutoro no shiro,"['Animation', 'Adventure', 'Family', 'Fantasy']",12+,1h 40min,15 December 1979 (Japan),71,7.7
Суперсемейка 2,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",6+,1h 58min,14 June 2018 (Russia),80,7.6
Моана,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",6+,1h 47min,1 December 2016 (Russia),81,7.6
Ариэтти из страны лилипутов,"['Animation', 'Adventure', 'Family', 'Fantasy']",0+,1h 34min,15 September 2011 (Russia),80,7.6
Гадкий я,"['Animation', 'Comedy', 'Family', 'Fantasy']",0+,1h 35min,8 July 2010 (Russia),72,7.6
5 сантиметров в секунду,"['Animation', 'Drama', 'Family', 'Romance']",12+,1h 3min,3 March 2007 (Japan),,7.6
Тайна Келлс,"['Animation', 'Adventure', 'Family', 'Fantasy']",0+,1h 11min,11 February 2009 (France),81,7.6
Мулан,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Musical', 'War']",0+,1h 28min,25 December 1998 (Russia),71,7.6
Русалочка,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",0+,1h 23min,26 November 1998 (Russia),88,7.6
The Secret of NIMH,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Sci-Fi', 'Thriller']",,1h 22min,16 July 1982 (USA),76,7.6
Watership Down,"['Animation', 'Adventure', 'Drama', 'Thriller']",,1h 31min,13 December 1978 (UK),64,7.6
The Many Adventures of Winnie the Pooh,"['Animation', 'Adventure', 'Comedy', 'Family', 'Musical']",,1h 14min,11 March 1977 (USA),,7.6
Робин Гуд,"['Animation', 'Adventure', 'Comedy', 'Family', 'Romance']",,1h 23min,8 November 1973 (USA),,7.6
Книга джунглей,"['Animation', 'Adventure', 'Family', 'Musical']",G,1h 18min,18 October 1967 (USA),65,7.6
Белоснежка и семь гномов,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",0+,1h 23min,12 July 1955 (Soviet Union),95,7.6
Вперёд,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",PG,1h 42min,5 March 2020 (Russia),61,7.5
Красная черепаха,"['Animation', 'Family', 'Fantasy']",PG,1h 20min,16 February 2017 (Russia),86,7.5
Сад изящных слов,"['Animation', 'Drama', 'Romance']",12+,46min,31 May 2013 (Japan),,7.5
Как приручить дракона 3,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy']",6+,1h 44min,21 February 2019 (Russia),71,7.5
Летние войны,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Romance', 'Sci-Fi', 'Thriller']",12+,1h 54min,1 August 2009 (Japan),63,7.5
Иллюзионист,"['Animation', 'Drama', 'Family', 'Fantasy']",PG,1h 30min,16 June 2010 (France),82,7.5
Кунг-фу Панда,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family']",0+,1h 32min,5 June 2008 (Russia),74,7.5
Призрак в доспехах 2: Невинность,"['Animation', 'Drama', 'Sci-Fi', 'Thriller']",PG-13,1h 40min,6 March 2004 (Japan),66,7.5
Ледниковый период,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0+,1h 21min,22 August 2002 (Russia),,7.5
Холодное сердце,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",6+,1h 42min,12 December 2013 (Russia),75,7.4
Со склонов Кокурико,"['Animation', 'Drama', 'Family', 'Romance']",12+,1h 31min,18 October 2012 (Russia),71,7.4
Уоллес и Громит: Проклятие кролика-оборотня,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi']",12+,1h 25min,27 October 2005 (Russia),87,7.4
Земля до начала времён,"['Animation', 'Adventure', 'Drama', 'Family']",0+,1h 9min,18 November 1988 (USA),66,7.4
Алиса в Стране чудес,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Musical']",0+,1h 15min,14 September 1951 (USA),68,7.4
Пиноккио,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",0+,1h 28min,23 February 1940 (USA),99,7.4
Лего Фильм: Бэтмен,"['Animation', 'Action', 'Comedy', 'Family']",6+,1h 44min,9 February 2017 (Russia),75,7.3
Барашек Шон,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",PG,1h 25min,2 April 2015 (Russia),81,7.3
Аномализа,"['Animation', 'Comedy', 'Drama', 'Romance']",18+,1h 30min,11 March 2016 (UK),88,7.3
В поисках Дори,"['Animation', 'Adventure', 'Comedy', 'Family']",6+,1h 37min,16 June 2016 (Russia),77,7.3
Книга жизни,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",6+,1h 35min,26 February 2015 (Russia),67,7.3
Гадкий я 2,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",0+,1h 38min,15 August 2013 (Russia),62,7.3
Университет монстров,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,1h 44min,20 June 2013 (Russia),65,7.3
Хранители снов,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",0+,1h 37min,22 November 2012 (Russia),,7.3
Приключения Тинтина: Тайна Единорога,"['Animation', 'Action', 'Adventure', 'Family', 'Mystery']",12+,1h 47min,3 November 2011 (Russia),68,7.3
Симпсоны в кино,"['Animation', 'Adventure', 'Comedy']",12+,1h 27min,16 August 2007 (Russia),80,7.3
Труп невесты,"['Animation', 'Drama', 'Family', 'Fantasy', 'Musical', 'Romance']",12+,1h 17min,26 January 2006 (Russia),83,7.3
Похождения императора,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0+,1h 18min,1 November 2001 (Russia),70,7.3
Тарзан,"['Animation', 'Adventure', 'Family', 'Romance']",6+,1h 28min,25 November 1999 (Russia),79,7.3
Геркулес,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",0+,1h 33min,2 June 2001 (Russia),74,7.3
The Transformers: The Movie,"['Animation', 'Action', 'Adventure', 'Family', 'Sci-Fi']",,1h 24min,8 August 1986 (USA),,7.3
Лис и пёс,"['Animation', 'Adventure', 'Drama', 'Family']",0+,1h 23min,10 July 1981 (USA),65,7.3
Леди и бродяга,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Romance']",0+,1h 16min,1969 (Russia),78,7.3
Питер Пэн,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Musical']",G,1h 17min,5 February 1953 (USA),76,7.3
Золушка,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",G,1h 14min,4 March 1950 (USA),85,7.3
Бэмби,"['Animation', 'Drama', 'Family']",0+,1h 10min,17 May 1946 (Soviet Union),91,7.3
Драконий жемчуг: Битва Богов,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",,1h 25min,30 March 2013 (Japan),,7.2
Кунг-фу Панда 2,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0+,1h 30min,26 May 2011 (Russia),67,7.2
Ранго,"['Animation', 'Adventure', 'Comedy', 'Family', 'Western']",0+,1h 47min,17 March 2011 (Russia),75,7.2
Мегамозг,"['Animation', 'Action', 'Comedy', 'Family', 'Sci-Fi']",0+,1h 35min,28 October 2010 (Russia),63,7.2
Семейка Крудс,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0+,1h 38min,21 March 2013 (Russia),,7.2
Последняя фантазия 7: Дети пришествия,"['Animation', 'Action', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Mystery', 'Sci-Fi', 'Thriller']",16+,1h 41min,14 September 2005 (Japan),,7.2
Boзвращение кота,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']",0+,1h 15min,19 July 2002 (Japan),70,7.2
Шрек 2,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']",6+,1h 33min,19 August 2004 (Russia),75,7.2
Лило и Стич,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']",0+,1h 25min,26 December 2002 (Russia),73,7.2
Планета сокровищ,"['Animation', 'Adventure', 'Family', 'Sci-Fi']",0+,1h 35min,20 March 2003 (Russia),,7.2
